"RefSeq.accession.number","Gene.Name","ensembl_gene_id"
"NM_004546","NDUFB2 ","ENSG00000090266"
"NM_004547","NDUFB4 ","ENSG00000065518"
"NM_004548","NDUFB10 ","ENSG00000291930"
"NM_004548","NDUFB10 ","ENSG00000140990"
"NM_004549","NDUFC2 ","ENSG00000151366"
"NM_004550","NDUFS2 ","ENSG00000158864"
"NM_004551","NDUFS3 ","ENSG00000213619"
"NM_004552","NDUFS5 ","ENSG00000168653"
"NM_004553","NDUFS6 ","ENSG00000145494"
"NM_004565","PEX14 ","ENSG00000142655"
"NM_004568","SERPINB6 ","ENSG00000124570"
"NM_004569","PIGH ","ENSG00000100564"
"NM_004578","RAB4A ","ENSG00000168118"
"NM_004581","RABGGTA ","ENSG00000285193"
"NM_004581","RABGGTA ","ENSG00000100949"
"NM_004582","RABGGTB ","ENSG00000137955"
"NM_004583","RAB5C ","ENSG00000108774"
"NM_004586","RPS6KA3 ","ENSG00000177189"
"NM_004589","SCO1 ","ENSG00000133028"
"NM_004592","SFSWAP ","ENSG00000061936"
"NM_004593","TRA2B ","ENSG00000136527"
"NM_004596","SNRPA ","ENSG00000077312"
"NM_004597","SNRPD2 ","ENSG00000125743"
"NM_004599","SREBF2 ","ENSG00000198911"
"NM_004602","STAU1 ","ENSG00000124214"
"NM_004604","STX4 ","ENSG00000103496"
"NM_004607","TBCA ","ENSG00000171530"
"NM_004620","TRAF6 ","ENSG00000175104"
"NM_004622","TSN ","ENSG00000211460"
"NM_004623","TTC4 ","ENSG00000243725"
"NM_004627","WRB ","ENSG00000182093"
"NM_004630","SF1 ","ENSG00000168066"
"NM_004632","DAP3 ","ENSG00000132676"
"NM_004634","BRPF1 ","ENSG00000156983"
"NM_004637","RAB7A ","ENSG00000075785"
"NM_004638","PRRC2A ","ENSG00000206427"
"NM_004638","PRRC2A ","ENSG00000204469"
"NM_004638","PRRC2A ","ENSG00000226618"
"NM_004638","PRRC2A ","ENSG00000225748"
"NM_004638","PRRC2A ","ENSG00000231370"
"NM_004638","PRRC2A ","ENSG00000225164"
"NM_004638","PRRC2A ","ENSG00000231825"
"NM_004639","BAG6 ",NA
"NM_004640","DDX39B ","ENSG00000225859"
"NM_004640","DDX39B ","ENSG00000198563"
"NM_004640","DDX39B ","ENSG00000215425"
"NM_004640","DDX39B ","ENSG00000229496"
"NM_004640","DDX39B ","ENSG00000237889"
"NM_004640","DDX39B ","ENSG00000235439"
"NM_004640","DDX39B ","ENSG00000230624"
"NM_004640","DDX39B ","ENSG00000225073"
"NM_004642","CDK2AP1 ","ENSG00000111328"
"NM_004643","PABPN1 ","ENSG00000100836"
"NM_004649","C21orf33 ","ENSG00000160221"
"NM_004656","BAP1 ","ENSG00000163930"
"NM_004661","CDC23 ","ENSG00000094880"
"NM_004663","RAB11A ","ENSG00000103769"
"NM_004674","ASH2L ","ENSG00000129691"
"NM_004685","MTMR6 ","ENSG00000139505"
"NM_004691","ATP6V0D1 ","ENSG00000159720"
"NM_004697","PRPF4 ","ENSG00000136875"
"NM_004698","PRPF3 ","ENSG00000117360"
"NM_004699","FAM50A ","ENSG00000071859"
"NM_004703","RABEP1 ","ENSG00000029725"
"NM_004707","ATG12 ","ENSG00000145782"
"NM_004708","PDCD5 ","ENSG00000105185"
"NM_004712","HGS ","ENSG00000185359"
"NM_004716","PCSK7 ","ENSG00000160613"
"NM_004718","COX7A2L ","ENSG00000115944"
"NM_004719","SCAF11 ","ENSG00000139218"
"NM_004724","ZW10 ","ENSG00000086827"
"NM_004725","BUB3 ","ENSG00000154473"
"NM_004728","DDX21 ","ENSG00000165732"
"NM_004730","ETF1 ","ENSG00000120705"
"NM_004738","VAPB ","ENSG00000124164"
"NM_004739","MTA2 ","ENSG00000149480"
"NM_004741","NOLC1 ","ENSG00000166197"
"NM_004748","CCPG1 ","ENSG00000260916"
"NM_004749","TBRG4 ","ENSG00000136270"
"NM_004757","AIMP1 ","ENSG00000164022"
"NM_004759","MAPKAPK2 ","ENSG00000162889"
"NM_004766","COPB2 ","ENSG00000184432"
"NM_004768","SRSF11 ","ENSG00000116754"
"NM_004773","ZNHIT3 ","ENSG00000278574"
"NM_004773","ZNHIT3 ","ENSG00000273611"
"NM_004776","B4GALT5 ","ENSG00000158470"
"NM_004781","VAMP3 ","ENSG00000049245"
"NM_004782","SNAP29 ","ENSG00000099940"
"NM_004783","TAOK2 ","ENSG00000149930"
"NM_004786","TXNL1 ","ENSG00000091164"
"NM_004788","UBE4A ","ENSG00000110344"
"NM_004792","PPIG ","ENSG00000138398"
"NM_004793","LONP1 ","ENSG00000196365"
"NM_004800","TM9SF2 ","ENSG00000125304"
"NM_004804","CIAO1 ","ENSG00000144021"
"NM_004805","POLR2D ","ENSG00000144231"
"NM_004807","HS6ST1 ","ENSG00000136720"
"NM_004809","STOML1 ","ENSG00000067221"
"NM_004813","PEX16 ","ENSG00000121680"
"NM_004814","SNRNP40 ","ENSG00000060688"
"NM_004818","DDX23 ","ENSG00000174243"
"NM_004819","SYMPK ","ENSG00000125755"
"NM_004824","CDYL ","ENSG00000153046"
"NM_004832","GSTO1 ","ENSG00000148834"
"NM_004834","MAP4K4 ","ENSG00000071054"
"NM_004836","EIF2AK3 ","ENSG00000172071"
"NM_004846","EIF4E2 ","ENSG00000135930"
"NM_004849","ATG5 ","ENSG00000057663"
"NM_004853","STX8 ","ENSG00000170310"
"NM_004859","CLTC ","ENSG00000141367"
"NM_004870","MPDU1 ","ENSG00000129255"
"NM_004871","GOSR1 ","ENSG00000108587"
"NM_004872","TMEM59 ","ENSG00000116209"
"NM_004874","BAG4 ","ENSG00000156735"
"NM_004879","EI24 ","ENSG00000149547"
"NM_004882","CIR1 ","ENSG00000138433"
"NM_004888","ATP6V1G1 ","ENSG00000136888"
"NM_004889","ATP5J2 ","ENSG00000241468"
"NM_004890","SPAG7 ","ENSG00000091640"
"NM_004891","MRPL33 ","ENSG00000243147"
"NM_004892","SEC22B ","ENSG00000265808"
"NM_004893","H2AFY ","ENSG00000113648"
"NM_004894","C14orf2 ","ENSG00000156411"
"NM_004896","VPS26A ","ENSG00000122958"
"NM_004898","CLOCK ","ENSG00000134852"
"NM_004899","BRE ","ENSG00000158019"
"NM_004901","ENTPD4 ","ENSG00000197217"
"NM_004902","RBM39 ","ENSG00000131051"
"NM_004905","PRDX6 ","ENSG00000117592"
"NM_004906","WTAP ","ENSG00000146457"
"NM_004922","SEC24C ","ENSG00000176986"
"NM_004927","MRPL49 ","ENSG00000149792"
"NM_004928","C21orf2 ","ENSG00000160226"
"NM_004930","CAPZB ","ENSG00000077549"
"NM_004939","DDX1 ","ENSG00000079785"
"NM_004941","DHX8 ","ENSG00000067596"
"NM_004945","DNM2 ","ENSG00000079805"
"NM_004953","EIF4G1 ","ENSG00000114867"
"NM_004957","FPGS ","ENSG00000136877"
"NM_004966","HNRNPF ","ENSG00000169813"
"NM_004986","KTN1 ","ENSG00000126777"
"NM_004990","MARS ","ENSG00000166986"
"NM_004992","MECP2 ","ENSG00000169057"
"NM_004998","MYO1E ","ENSG00000157483"
"NM_005000","NDUFA5 ","ENSG00000128609"
"NM_005001","NDUFA7 ","ENSG00000267855"
"NM_005002","NDUFA9 ","ENSG00000139180"
"NM_005004","NDUFB8 ","ENSG00000166136"
"NM_005005","NDUFB9 ","ENSG00000147684"
"NM_005007","NFKBIL1 ","ENSG00000234530"
"NM_005007","NFKBIL1 ","ENSG00000227565"
"NM_005007","NFKBIL1 ","ENSG00000206440"
"NM_005007","NFKBIL1 ","ENSG00000204498"
"NM_005007","NFKBIL1 ","ENSG00000236196"
"NM_005007","NFKBIL1 ","ENSG00000236346"
"NM_005007","NFKBIL1 ","ENSG00000235125"
"NM_005008","NHP2L1 ","ENSG00000100138"
"NM_005015","OXA1L ","ENSG00000155463"
"NM_005016","PCBP2 ","ENSG00000197111"
"NM_005017","PCYT1A ","ENSG00000161217"
"NM_005022","PFN1 ","ENSG00000108518"
"NM_005034","POLR2K ","ENSG00000147669"
"NM_005036","PPARA ","ENSG00000186951"
"NM_005038","PPID ","ENSG00000171497"
"NM_005047","PSMD5 ","ENSG00000095261"
"NM_005049","PWP2 ","ENSG00000241945"
"NM_005051","QARS ","ENSG00000172053"
"NM_005065","SEL1L ","ENSG00000071537"
"NM_005067","SIAH2 ","ENSG00000181788"
"NM_005077","TLE1 ","ENSG00000196781"
"NM_005094","SLC27A4 ","ENSG00000167114"
"NM_005102","FEZ2 ","ENSG00000171055"
"NM_005104","BRD2 ","ENSG00000236227"
"NM_005104","BRD2 ","ENSG00000215077"
"NM_005104","BRD2 ","ENSG00000230678"
"NM_005104","BRD2 ","ENSG00000234507"
"NM_005104","BRD2 ","ENSG00000235307"
"NM_005104","BRD2 ","ENSG00000204256"
"NM_005104","BRD2 ","ENSG00000234704"
"NM_005105","RBM8A ","ENSG00000265241"
"NM_005112","WDR1 ","ENSG00000071127"
"NM_005113","GOLGA5 ","ENSG00000066455"
"NM_005119","THRAP3 ","ENSG00000054118"
"NM_005121","MED13 ","ENSG00000108510"
"NM_005124","NUP153 ","ENSG00000124789"
"NM_005134","PPP4R1 ","ENSG00000154845"
"NM_005138","SCO2 ","ENSG00000284194"
"NM_005146","SART1 ","ENSG00000175467"
"NM_005147","DNAJA3 ","ENSG00000103423"
"NM_005147","DNAJA3 ","ENSG00000276726"
"NM_005151","USP14 ","ENSG00000101557"
"NM_005153","USP10 ","ENSG00000103194"
"NM_005154","USP8 ","ENSG00000138592"
"NM_005163","AKT1 ","ENSG00000142208"
"NM_005171","ATF1 ","ENSG00000123268"
"NM_005174","ATP5C1 ","ENSG00000165629"
"NM_005176","ATP5G2 ","ENSG00000135390"
"NM_005180","BMI1 ","ENSG00000168283"
"NM_005186","CAPN1 ","ENSG00000014216"
"NM_005198","CHKB ","ENSG00000100288"
"NM_005206","CRK ","ENSG00000167193"
"NM_005207","CRKL ","ENSG00000099942"
"NM_005216","DDOST ","ENSG00000244038"
"NM_005229","ELK1 ","ENSG00000126767"
"NM_005231","CTTN ","ENSG00000288401"
"NM_005231","CTTN ","ENSG00000085733"
"NM_005243","EWSR1 ","ENSG00000182944"
"NM_005262","GFER ","ENSG00000291944"
"NM_005262","GFER ","ENSG00000127554"
"NM_005273","GNB2 ","ENSG00000172354"
"NM_005312","RAPGEF1 ","ENSG00000107263"
"NM_005316","GTF2H1 ","ENSG00000288114"
"NM_005316","GTF2H1 ","ENSG00000110768"
"NM_005326","HAGH ","ENSG00000063854"
"NM_005327","HADH ","ENSG00000138796"
"NM_005333","HCCS ","ENSG00000004961"
"NM_005334","HCFC1 ","ENSG00000172534"
"NM_005336","HDLBP ","ENSG00000115677"
"NM_005339","UBE2K ","ENSG00000078140"
"NM_005340","HINT1 ","ENSG00000169567"
"NM_005347","HSPA5 ","ENSG00000044574"
"NM_005354","JUND ","ENSG00000130522"
"NM_005359","SMAD4 ","ENSG00000141646"
"NM_005381","NCL ","ENSG00000115053"
"NM_005384","NFIL3 ","ENSG00000165030"
"NM_005389","PCMT1 ","ENSG00000120265"
"NM_005402","RALA ","ENSG00000006451"
"NM_005414","SKIL ","ENSG00000136603"
"NM_005415","SLC20A1 ","ENSG00000144136"
"NM_005439","MLF2 ","ENSG00000089693"
"NM_005444","RQCD1 ","ENSG00000144580"
"NM_005452","WDR46 ","ENSG00000227057"
"NM_005452","WDR46 ","ENSG00000204221"
"NM_005452","WDR46 ","ENSG00000226916"
"NM_005452","WDR46 ","ENSG00000236222"
"NM_005452","WDR46 ","ENSG00000206284"
"NM_005455","ZRANB2 ","ENSG00000132485"
"NM_005466","MED6 ","ENSG00000133997"
"NM_005469","ACOT8 ","ENSG00000101473"
"NM_005470","ABI1 ","ENSG00000136754"
"NM_005471","GNPDA1 ","ENSG00000113552"
"NM_005476","GNE ","ENSG00000159921"
"NM_005481","MED16 ","ENSG00000282092"
"NM_005481","MED16 ","ENSG00000175221"
"NM_005482","PIGK ","ENSG00000142892"
"NM_005485","PARP3 ","ENSG00000041880"
"NM_005499","UBA2 ","ENSG00000126261"
"NM_005500","SAE1 ","ENSG00000142230"
"NM_005506","SCARB2 ","ENSG00000138760"
"NM_005520","HNRNPH1 ","ENSG00000169045"
"NM_005520","HNRNPH1 ","ENSG00000284254"
"NM_005528","DNAJC4 ","ENSG00000110011"
"NM_005530","IDH3A ","ENSG00000166411"
"NM_005539","INPP5A ","ENSG00000068383"
"NM_005548","KARS ","ENSG00000065427"
"NM_005561","LAMP1 ","ENSG00000185896"
"NM_005566","LDHA ","ENSG00000134333"
"NM_005566","LDHA ","ENSG00000288299"
"NM_005570","LMAN1 ","ENSG00000074695"
"NM_005587","MEF2A ","ENSG00000068305"
"NM_005600","NIT1 ","ENSG00000158793"
"NM_005610","RBBP4 ","ENSG00000162521"
"NM_005612","REST ","ENSG00000084093"
"NM_005626","SRSF4 ","ENSG00000116350"
"NM_005643","TAF11 ","ENSG00000064995"
"NM_005644","TAF12 ","ENSG00000120656"
"NM_005645","TAF13 ","ENSG00000197780"
"NM_005648","TCEB1 ","ENSG00000154582"
"NM_005650","TCF20 ","ENSG00000100207"
"NM_005650","TCF20 ","ENSG00000262024"
"NM_005650","TCF20 ","ENSG00000276461"
"NM_005652","TERF2 ","ENSG00000132604"
"NM_005653","TFCP2 ","ENSG00000135457"
"NM_005659","UFD1L ","ENSG00000070010"
"NM_005660","SLC35A2 ","ENSG00000102100"
"NM_005660","SLC35A2 ","ENSG00000292209"
"NM_005662","VDAC3 ","ENSG00000078668"
"NM_005667","RNF103 ","ENSG00000239305"
"NM_005669","REEP5 ","ENSG00000129625"
"NM_005676","RBM10 ","ENSG00000182872"
"NM_005687","FARSB ","ENSG00000116120"
"NM_005690","DNM1L ","ENSG00000087470"
"NM_005692","ABCF2 ","ENSG00000285292"
"NM_005697","SCAMP2 ","ENSG00000140497"
"NM_005698","SCAMP3 ","ENSG00000116521"
"NM_005698","SCAMP3 ","ENSG00000263290"
"NM_005701","SNUPN ","ENSG00000169371"
"NM_005702","ERAL1 ","ENSG00000132591"
"NM_005706","TSSC4 ","ENSG00000184281"
"NM_005710","PQBP1 ","ENSG00000102103"
"NM_005710","PQBP1 ","ENSG00000292208"
"NM_005716","GIPC1 ","ENSG00000123159"
"NM_005726","TSFM ","ENSG00000123297"
"NM_005729","PPIF ","ENSG00000108179"
"NM_005730","CTDSP2 ","ENSG00000175215"
"NM_005731","ARPC2 ","ENSG00000163466"
"NM_005732","RAD50 ","ENSG00000113522"
"NM_005735","ACTR1B ","ENSG00000291597"
"NM_005735","ACTR1B ","ENSG00000115073"
"NM_005736","ACTR1A ","ENSG00000138107"
"NM_005744","ARIH1 ","ENSG00000166233"
"NM_005745","BCAP31 ","ENSG00000185825"
"NM_005746","NAMPT ","ENSG00000105835"
"NM_005748","YAF2 ","ENSG00000015153"
"NM_005749","TOB1 ","ENSG00000141232"
"NM_005751","AKAP9 ","ENSG00000127914"
"NM_005754","G3BP1 ","ENSG00000145907"
"NM_005760","CEBPZ ","ENSG00000115816"
"NM_005762","TRIM28 ","ENSG00000130726"
"NM_005768","LPCAT3 ","ENSG00000111684"
"NM_005776","CNIH ","ENSG00000100528"
"NM_005777","RBM6 ","ENSG00000004534"
"NM_005778","RBM5 ","ENSG00000003756"
"NM_005782","ALYREF ","ENSG00000183684"
"NM_005783","TXNDC9 ","ENSG00000115514"
"NM_005789","PSME3 ","ENSG00000131467"
"NM_005791","MPHOSPH10 ","ENSG00000124383"
"NM_005793","NME6 ","ENSG00000172113"
"NM_005796","NUTF2 ","ENSG00000102898"
"NM_005801","EIF1 ","ENSG00000173812"
"NM_005802","TOPORS ","ENSG00000197579"
"NM_005803","FLOT1 ","ENSG00000232280"
"NM_005803","FLOT1 ","ENSG00000223654"
"NM_005803","FLOT1 ","ENSG00000206480"
"NM_005803","FLOT1 ","ENSG00000206379"
"NM_005803","FLOT1 ","ENSG00000224740"
"NM_005803","FLOT1 ","ENSG00000137312"
"NM_005803","FLOT1 ","ENSG00000230143"
"NM_005805","PSMD14 ","ENSG00000115233"
"NM_005809","PRDX2 ","ENSG00000167815"
"NM_005817","PLIN3 ","ENSG00000105355"
"NM_005826","HNRNPR ","ENSG00000125944"
"NM_005826","HNRNPR ","ENSG00000282958"
"NM_005827","SLC35B1 ","ENSG00000121073"
"NM_005828","DCAF7 ","ENSG00000136485"
"NM_005829","AP3S2 ","ENSG00000157823"
"NM_005830","MRPS31 ","ENSG00000102738"
"NM_005831","CALCOCO2 ","ENSG00000136436"
"NM_005833","RABEPK ","ENSG00000136933"
"NM_005834","TIMM17B ","ENSG00000292215"
"NM_005834","TIMM17B ","ENSG00000126768"
"NM_005837","POP7 ","ENSG00000172336"
"NM_005839","SRRM1 ","ENSG00000133226"
"NM_005843","STAM2 ","ENSG00000115145"
"NM_005848","DENND4A ","ENSG00000174485"
"NM_005850","SF3B4 ","ENSG00000143368"
"NM_005857","ZMPSTE24 ","ENSG00000084073"
"NM_005858","AKAP8 ","ENSG00000105127"
"NM_005859","PURA ","ENSG00000185129"
"NM_005861","STUB1 ","ENSG00000103266"
"NM_005866","SIGMAR1 ","ENSG00000147955"
"NM_005870","SAP18 ","ENSG00000150459"
"NM_005871","SMNDC1 ","ENSG00000119953"
"NM_005872","BCAS2 ","ENSG00000116752"
"NM_005875","EIF1B ","ENSG00000114784"
"NM_005877","SF3A1 ","ENSG00000099995"
"NM_005880","DNAJA2 ","ENSG00000069345"
"NM_005881","BCKDK ","ENSG00000103507"
"NM_005882","MAEA ","ENSG00000090316"
"NM_005885","6-Mar","ENSG00000145495"
"NM_005895","GOLGA3 ","ENSG00000090615"
"NM_005898","CAPRIN1 ","ENSG00000135387"
"NM_005899","NBR1 ","ENSG00000188554"
"NM_005901","SMAD2 ","ENSG00000175387"
"NM_005903","SMAD5 ","ENSG00000113658"
"NM_005916","MCM7 ","ENSG00000166508"
"NM_005926","MFAP1 ","ENSG00000140259"
"NM_005927","MFAP3 ","ENSG00000037749"
"NM_005930","CTAGE5 ","ENSG00000150527"
"NM_005934","MLLT1 ","ENSG00000130382"
"NM_005962","MXI1 ","ENSG00000119950"
"NM_005968","HNRNPM ","ENSG00000099783"
"NM_005969","NAP1L4 ","ENSG00000273562"
"NM_005969","NAP1L4 ","ENSG00000205531"
"NM_005973","PRCC ","ENSG00000143294"
"NM_005977","RNF6 ","ENSG00000127870"
"NM_005981","TSPAN31 ","ENSG00000135452"
"NM_005993","TBCD ","ENSG00000278759"
"NM_005993","TBCD ","ENSG00000141556"
"NM_005997","VPS72 ","ENSG00000163159"
"NM_005998","CCT3 ","ENSG00000163468"
"NM_005999","TSNAX ","ENSG00000116918"
"NM_006002","UCHL3 ","ENSG00000118939"
"NM_006007","ZFAND5 ","ENSG00000107372"
"NM_006012","CLPP ","ENSG00000125656"
"NM_006014","LAGE3 ","ENSG00000196976"
"NM_006016","CD164 ","ENSG00000135535"
"NM_006020","ALKBH1 ","ENSG00000100601"
"NM_006023","CDC123 ","ENSG00000151465"
"NM_006024","TAX1BP1 ","ENSG00000106052"
"NM_006026","H1FX ","ENSG00000184897"
"NM_006038","SPATA2 ","ENSG00000158480"
"NM_006044","HDAC6 ","ENSG00000094631"
"NM_006047","RBM12 ","ENSG00000244462"
"NM_006048","UBE4B ","ENSG00000130939"
"NM_006049","SNAPC5 ","ENSG00000174446"
"NM_006052","DSCR3 ","ENSG00000157538"
"NM_006058","TNIP1 ","ENSG00000145901"
"NM_006066","AKR1A1 ","ENSG00000117448"
"NM_006067","EMC8 ","ENSG00000131148"
"NM_006070","TFG ","ENSG00000114354"
"NM_006077","MICU1 ","ENSG00000107745"
"NM_006082","TUBA1B ","ENSG00000123416"
"NM_006085","BPNT1 ","ENSG00000162813"
"NM_006107","LUC7L3 ","ENSG00000108848"
"NM_006109","PRMT5 ","ENSG00000100462"
"NM_006112","PPIE ","ENSG00000084072"
"NM_006114","TOMM40 ","ENSG00000130204"
"NM_006116","TAB1 ","ENSG00000100324"
"NM_006117","ECI2 ","ENSG00000198721"
"NM_006118","HAX1 ","ENSG00000143575"
"NM_006122","MAN2A2 ","ENSG00000196547"
"NM_006134","TMEM50B ","ENSG00000142188"
"NM_006134","TMEM50B ","ENSG00000263160"
"NM_006136","CAPZA2 ","ENSG00000198898"
"NM_006153","NCK1 ","ENSG00000158092"
"NM_006156","NEDD8 ","ENSG00000285246"
"NM_006156","NEDD8 ","ENSG00000129559"
"NM_006164","NFE2L2 ","ENSG00000116044"
"NM_006166","NFYB ","ENSG00000120837"
"NM_006170","NOP2 ","ENSG00000111641"
"NM_006184","NUCB1 ","ENSG00000104805"
"NM_006191","PA2G4 ","ENSG00000170515"
"NM_006196","PCBP1 ","ENSG00000169564"
"NM_006197","PCM1 ","ENSG00000078674"
"NM_006201","CDK16 ","ENSG00000102225"
"NM_006219","PIK3CB ","ENSG00000051382"
"NM_006221","PIN1 ","ENSG00000127445"
"NM_006224","PITPNA ","ENSG00000174238"
"NM_006230","POLD2 ","ENSG00000106628"
"NM_006232","POLR2H ","ENSG00000163882"
"NM_006233","POLR2I ","ENSG00000105258"
"NM_006234","POLR2J ","ENSG00000005075"
"NM_006238","PPARD ","ENSG00000112033"
"NM_006243","PPP2R5A ","ENSG00000066027"
"NM_006244","PPP2R5B ","ENSG00000068971"
"NM_006245","PPP2R5D ","ENSG00000112640"
"NM_006246","PPP2R5E ","ENSG00000154001"
"NM_006247","PPP5C ","ENSG00000011485"
"NM_006251","PRKAA1 ","ENSG00000132356"
"NM_006253","PRKAB1 ","ENSG00000111725"
"NM_006260","DNAJC3 ","ENSG00000102580"
"NM_006263","PSME1 ","ENSG00000092010"
"NM_006263","PSME1 ","ENSG00000284916"
"NM_006267","RANBP2 ","ENSG00000153201"
"NM_006284","TAF10 ","ENSG00000166337"
"NM_006292","TSG101 ","ENSG00000074319"
"NM_006294","UQCRB ","ENSG00000156467"
"NM_006296","VRK2 ","ENSG00000028116"
"NM_006302","MOGS ","ENSG00000115275"
"NM_006305","ANP32A ","ENSG00000140350"
"NM_006306","SMC1A ","ENSG00000072501"
"NM_006311","NCOR1 ","ENSG00000141027"
"NM_006319","CDIPT ","ENSG00000103502"
"NM_006320","PGRMC2 ","ENSG00000164040"
"NM_006321","ARIH2 ","ENSG00000177479"
"NM_006323","SEC24B ","ENSG00000138802"
"NM_006325","RAN ","ENSG00000132341"
"NM_006328","RBM14 ","ENSG00000239306"
"NM_006331","EMG1 ","ENSG00000126749"
"NM_006335","TIMM17A ","ENSG00000134375"
"NM_006337","MCRS1 ","ENSG00000187778"
"NM_006339","HMG20B ","ENSG00000064961"
"NM_006341","MAD2L2 ","ENSG00000116670"
"NM_006345","SLC30A9 ","ENSG00000014824"
"NM_006347","PPIH ","ENSG00000171960"
"NM_006349","ZNHIT1 ","ENSG00000106400"
"NM_006351","TIMM44 ","ENSG00000104980"
"NM_006352","ZBTB18 ","ENSG00000179456"
"NM_006354","TADA3 ","ENSG00000171148"
"NM_006356","ATP5H ","ENSG00000167863"
"NM_006357","UBE2E3 ","ENSG00000170035"
"NM_006360","EIF3M ","ENSG00000149100"
"NM_006362","NXF1 ","ENSG00000162231"
"NM_006364","SEC23A ","ENSG00000100934"
"NM_006368","CREB3 ","ENSG00000107175"
"NM_006369","LRRC41 ","ENSG00000132128"
"NM_006370","VTI1B ","ENSG00000100568"
"NM_006372","SYNCRIP ","ENSG00000135316"
"NM_006384","CIB1 ","ENSG00000185043"
"NM_006386","DDX17 ","ENSG00000100201"
"NM_006387","CHERP ","ENSG00000085872"
"NM_006388","KAT5 ","ENSG00000172977"
"NM_006389","HYOU1 ","ENSG00000149428"
"NM_006389","HYOU1 ","ENSG00000280682"
"NM_006390","IPO8 ","ENSG00000133704"
"NM_006391","IPO7 ","ENSG00000205339"
"NM_006392","NOP56 ","ENSG00000101361"
"NM_006395","ATG7 ","ENSG00000197548"
"NM_006396","SSSCA1 ","ENSG00000173465"
"NM_006400","DCTN2 ","ENSG00000175203"
"NM_006401","ANP32B ","ENSG00000136938"
"NM_006402","LAMTOR5 ","ENSG00000134248"
"NM_006405","TM9SF1 ","ENSG00000285465"
"NM_006405","TM9SF1 ","ENSG00000100926"
"NM_006409","ARPC1A ","ENSG00000241685"
"NM_006410","HTATIP2 ","ENSG00000109854"
"NM_006411","AGPAT1 ","ENSG00000228892"
"NM_006411","AGPAT1 ","ENSG00000227642"
"NM_006411","AGPAT1 ","ENSG00000236873"
"NM_006411","AGPAT1 ","ENSG00000204310"
"NM_006411","AGPAT1 ","ENSG00000235758"
"NM_006411","AGPAT1 ","ENSG00000226467"
"NM_006411","AGPAT1 ","ENSG00000206324"
"NM_006413","RPP30 ","ENSG00000148688"
"NM_006414","RPP38 ","ENSG00000152464"
"NM_006420","ARFGEF2 ","ENSG00000124198"
"NM_006427","SIVA1 ","ENSG00000184990"
"NM_006428","MRPL28 ","ENSG00000086504"
"NM_006429","CCT7 ","ENSG00000135624"
"NM_006430","CCT4 ","ENSG00000115484"
"NM_006432","NPC2 ","ENSG00000119655"
"NM_006442","DRAP1 ","ENSG00000175550"
"NM_006445","PRPF8 ","ENSG00000174231"
"NM_006445","PRPF8 ","ENSG00000274442"
"NM_006447","USP16 ","ENSG00000291527"
"NM_006447","USP16 ","ENSG00000156256"
"NM_006451","PAIP1 ","ENSG00000172239"
"NM_006452","PAICS ","ENSG00000128050"
"NM_006454","MXD4 ","ENSG00000123933"
"NM_006458","TRIM3 ","ENSG00000110171"
"NM_006460","HEXIM1 ","ENSG00000186834"
"NM_006462","RBCK1 ","ENSG00000125826"
"NM_006463","STAMBP ","ENSG00000124356"
"NM_006464","TGOLN2 ","ENSG00000152291"
"NM_006464","TGOLN2 ","ENSG00000292253"
"NM_006468","POLR3C ","ENSG00000186141"
"NM_006469","IVNS1ABP ","ENSG00000116679"
"NM_006476","ATP5L ","ENSG00000167283"
"NM_006502","POLH ","ENSG00000170734"
"NM_006503","PSMC4 ","ENSG00000281221"
"NM_006503","PSMC4 ","ENSG00000013275"
"NM_006510","TRIM27 ","ENSG00000237071"
"NM_006510","TRIM27 ","ENSG00000204713"
"NM_006510","TRIM27 ","ENSG00000234495"
"NM_006510","TRIM27 ","ENSG00000215641"
"NM_006510","TRIM27 ","ENSG00000237462"
"NM_006510","TRIM27 ","ENSG00000229006"
"NM_006511","RSC1A1 ","ENSG00000215695"
"NM_006513","SARS ","ENSG00000031698"
"NM_006519","DYNLT1 ","ENSG00000146425"
"NM_006521","TFE3 ","ENSG00000292217"
"NM_006521","TFE3 ","ENSG00000068323"
"NM_006541","GLRX3 ","ENSG00000108010"
"NM_006542","SPHAR ",NA
"NM_006545","NPRL2 ","ENSG00000114388"
"NM_006554","MTX2 ","ENSG00000128654"
"NM_006555","YKT6 ","ENSG00000106636"
"NM_006556","PMVK ","ENSG00000163344"
"NM_006559","KHDRBS1 ","ENSG00000121774"
"NM_006560","CELF1 ","ENSG00000149187"
"NM_006565","CTCF ","ENSG00000102974"
"NM_006567","FARS2 ","ENSG00000145982"
"NM_006570","RRAGA ","ENSG00000155876"
"NM_006571","DCTN6 ","ENSG00000104671"
"NM_006585","CCT8 ","ENSG00000291533"
"NM_006585","CCT8 ","ENSG00000156261"
"NM_006590","USP39 ","ENSG00000168883"
"NM_006594","AP4B1 ","ENSG00000134262"
"NM_006595","API5 ","ENSG00000166181"
"NM_006597","HSPA8 ","ENSG00000109971"
"NM_006600","NUDC ","ENSG00000090273"
"NM_006601","PTGES3 ","ENSG00000110958"
"NM_006620","HBS1L ","ENSG00000112339"
"NM_006624","ZMYND11 ","ENSG00000015171"
"NM_006625","SRSF10 ","ENSG00000188529"
"NM_006626","ZBTB6 ","ENSG00000186130"
"NM_006627","POP4 ","ENSG00000105171"
